27, 23, 39, 16, 4, 18
20, 8, 23, 46, 26, 28
25, 31, 24, 19, 23, 18
45, 46, 48, 1, 25, 50
23, 3, 42, 25, 17, 43
8, 16, 43, 46, 11, 13
10, 11, 35, 40, 2, 4
47, 9, 48, 50, 43, 3
28, 10, 39, 48, 3, 18
12, 23, 8, 11, 2, 36
35, 41, 48, 33, 7, 6
11, 20, 16, 50, 27, 46
45, 50, 25, 34, 19, 9
20, 4, 11, 42, 23, 28
23, 12, 30, 47, 20, 45
49, 4, 3, 28, 25, 10
45, 48, 10, 39, 49, 14
17, 28, 2, 42, 5, 16
13, 39, 23, 27, 48, 44
31, 40, 22, 33, 6, 7
19, 10, 29, 42, 34, 33
33, 17, 3, 46, 18, 20
34, 15, 44, 2, 37, 24
2, 25, 36, 13, 34, 44
11, 22, 36, 2, 6, 35
7, 40, 34, 33, 50, 15
12, 37, 39, 1, 28, 24
21, 43, 9, 1, 24, 29
38, 28, 1, 34, 36, 7
4, 3, 41, 32, 18, 45
47, 19, 50, 22, 39, 32
23, 44, 3, 41, 43, 19
28, 4, 37, 19, 29, 15
48, 41, 25, 11, 36, 16
5, 7, 10, 22, 44, 12
11, 32, 50, 7, 19, 13
37, 41, 16, 13, 8, 48
39, 23, 15, 46, 9, 12
18, 40, 50, 25, 21, 36
10, 24, 15, 14, 34, 26
2, 49, 48, 4, 13, 41
26, 31, 1, 16, 15, 37
27, 41, 5, 35, 29, 14
29, 20, 23, 3, 26, 49
20, 27, 47, 19, 33, 23
41, 43, 37, 15, 6, 9
39, 8, 47, 14, 34, 3
21, 34, 50, 23, 9, 38
2, 3, 25, 23, 43, 48
42, 18, 1, 39, 49, 22
7, 45, 29, 28, 9, 4
23, 25, 24, 5, 35, 4
17, 45, 44, 46, 16, 37
25, 21, 45, 22, 50, 4
18, 28, 41, 7, 34, 33
2, 19, 9, 27, 39, 15
31, 8, 32, 22, 2, 20
11, 31, 10, 9999, 23, 47
